path,target
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Garbage Bag Images/00001767.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00004604.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00000478.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Garbage Bag Images/00002164.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00001709.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Garbage Bag Images/00000258.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Garbage Bag Images/00004042.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00001515.jpg,Flexible Plastic
datasets/roboflow/bag-qe348/train/91_jpg.rf.4609bb9ceabe9311c58babe33fba1130.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00001293.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Garbage Bag Images/00002576.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Garbage Bag Images/00000410.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00002279.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00002181.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00003682.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00004930.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00000031.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00004182.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00002079.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00004947.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Garbage Bag Images/00001764.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00000940.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00001735.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00002508.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Garbage Bag Images/00003868.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00001329.jpg,Flexible Plastic
datasets/datasets/vencerlanz09/plastic-paper-garbage-bag-synthetic-images/versions/1/Bag Classes/Bag Classes/Plastic Bag Images/00001380.jpg,Flexible Plastic
